======================================================================
  PLAYLIST RECOMMENDER — BASELINE vs IMPROVED
======================================================================
  Baseline playlists: 59071
  Improved playlists: 59071
  Generated: 2026-02-27 14:19:43
──────────────────────────────────────────────────────────────────────
  Hyperparameters (Optuna-optimized)
    alpha (relevance):  0.4145
    beta  (diversity):  0.5727
    gamma (novelty):    0.0128
    objective formula:  NDCG@10 + 0.2 * intra_list_diversity
    objective value:    0.537832
    trials run:         100
    sample size:        1000 playlists
======================================================================

Metric                     Category        Baseline    Improved       Delta  Verdict
────────────────────────────────────────────────────────────────────────────────
  Precision@10             Relevance         0.1898      0.1666     -0.0232   ↓ ✗
  Recall@10                Relevance         0.0413      0.0360     -0.0052   ↓ ✗
  NDCG@10                  Relevance         0.3851      0.3697     -0.0154   ↓ ✗
  MRR@10                   Relevance         0.3436      0.3347     -0.0089   ↓ ✗
  R-Precision              Relevance         0.0529      0.0472     -0.0057   ↓ ✗
  HIT@10                   Relevance         0.1906      0.1674     -0.0233   ↓ ✗

  intra_list_diversity     Diversity         0.6051      0.8255     +0.2204   ↑ ✓

  avg_popularity           Novelty          55.3260     55.7353     +0.4093   ↑ ✗

  genre_diversity          Diversity        15.5664     17.2362     +1.6698   ↑ ✓

  catalog_coverage         Coverage          0.0062      0.0064     +0.0002   ↑ ✓

────────────────────────────────────────────────────────────────────────────────
  Note: Relevance metrics may decrease slightly — this is expected.
  The re-ranker trades a small relevance loss for significant
  diversity and novelty gains.
======================================================================

Per-cluster NDCG@10 comparison:
  Cluster      Baseline   Improved      Delta
  129            0.3172     0.3070    -0.0102
  130            0.2925     0.2849    -0.0076
  131            0.3819     0.3782    -0.0037
  132            0.4125     0.3835    -0.0290
  133            0.3940     0.3838    -0.0102
  134            0.3478     0.3534    +0.0055
  135            0.3404     0.3294    -0.0110
  136            0.4785     0.4548    -0.0238
  137            0.2967     0.1565    -0.1402
  138            0.7057     0.6702    -0.0355
  139            0.5423     0.4957    -0.0466
  140            0.3342     0.3188    -0.0153
  141            0.3554     0.3391    -0.0163
  142            0.2156     0.1652    -0.0504
  143            0.2857     0.2643    -0.0214
  144            0.4844     0.4725    -0.0120
  145            0.2942     0.2848    -0.0094
  146            0.5716     0.5775    +0.0059
  147            0.5036     0.4727    -0.0309
  148            0.5326     0.4920    -0.0406
  149            0.2376     0.2351    -0.0025
  150            0.7699     0.7309    -0.0391
  151            0.2242     0.2095    -0.0147
  154            0.5303     0.5039    -0.0265
  157            0.4925     0.4751    -0.0174
  158            0.2496     0.2415    -0.0081
  159            0.4901     0.4783    -0.0119
  160            0.3628     0.3454    -0.0174
  162            0.5235     0.4950    -0.0285
  163            0.2690     0.2929    +0.0239
  164            0.2999     0.3103    +0.0104
  165            0.2830     0.2581    -0.0249
  169            0.5072     0.4942    -0.0130
  170            0.4650     0.4292    -0.0358
  171            0.5332     0.5078    -0.0254
  172            0.9045     0.8793    -0.0253
  173            0.3692     0.3435    -0.0257
  175            0.2651     0.2702    +0.0051
  176            0.3519     0.2962    -0.0558
  177            0.1970     0.2346    +0.0376
  178            0.3441     0.3346    -0.0096
  179            0.3610     0.3492    -0.0118
  180            0.4262     0.4010    -0.0252
  181            0.3193     0.3169    -0.0024
  182            0.2560     0.2481    -0.0079
  183            0.3991     0.3753    -0.0238
  186            0.3421     0.3398    -0.0022
  188            0.3167     0.3363    +0.0196
  189            0.3461     0.3381    -0.0080
  190            0.2002     0.1918    -0.0084
  191            0.7807     0.7160    -0.0647
  192            0.8107     0.7917    -0.0190
  193            0.2147     0.2081    -0.0066
  194            0.2715     0.2740    +0.0025
  196            0.3652     0.3582    -0.0070
  197            0.4151     0.4123    -0.0028
  199            0.3900     0.3812    -0.0088
